musaID,toPredict,distance_to_city_hall,distance_to_nearest_metro,distance_to_nearest_hospital,distance_to_nearest_school,distance_to_nearest_park,distance_to_nearest_water,NAMELSAD,Percent_Bachelor.s.degree.or.higher,Estimate_Mean.family.income..dollars.,Percent_Management..business..science..and.arts.occupations,Percent_Different.state,Percent_With.private.health.insurance,Percent_White.alone,LPSS_PER1000,HPSS_PER1000
1,MODELLING,11886.97061,1991.44287,6009.3876,1033.625774,53.10922776,6199.455417,Census Tract 153,15,94577,24.5,25.5,71.9,40.4,86.13445378,6.30252101
2,MODELLING,12444.87521,1252.609963,6131.573979,592.9003359,703.8473651,5407.98073,Census Tract 153,15,94577,24.5,25.5,71.9,40.4,59.47441217,2.0746888
3,MODELLING,15978.12502,3793.356963,4269.3186,2035.476522,95.4298267,2897.716356,Census Tract 160.01,53.4,123919,64.3,21.4,77.1,88,18.80877743,3.76175549
4,MODELLING,16386.73851,1787.413567,3407.397719,1256.652219,284.065993,4899.262549,Census Tract 161,59.6,114760,60.7,32.1,69.7,58,33.72093023,4.94186047
5,MODELLING,11447.92583,2533.778276,2633.830211,710.6066419,576.6937668,5366.971215,Census Tract 38,30.9,122058,41.7,8.3,79,84.5,55.99104143,6.15901456
6,MODELLING,26536.53529,2134.730846,6001.766066,267.5772785,1519.934978,2331.45334,Census Tract 191,22.9,99711,28.5,13.5,39.3,12.1,15.71594878,2.47380675
7,MODELLING,24018.29344,4443.45519,6937.126268,1756.973371,2159.915761,3539.785582,Census Tract 101,19,70337,39.1,9.3,46.8,1.6,24.27821522,0.82020997
8,MODELLING,8457.349926,3062.556027,3355.948473,1300.55733,392.1396571,5090.2418,Census Tract 31,46.6,105857,62.4,31.7,68.3,29.2,42.55319149,1.85013876
9,MODELLING,35484.69557,5612.213993,3454.213602,1799.787409,951.3333648,4785.287158,Census Tract 390.02,28.7,73956,16.6,10.7,50.9,8.2,27.14932127,1.13122172
10,MODELLING,31776.0961,2455.288362,5523.049842,1782.750865,338.1757669,1396.12645,Census Tract 98.02,32.1,81482,34.6,6.6,76.6,3.7,4.11334552,0.91407678
11,MODELLING,30966.83684,2982.29546,4927.212141,913.0791809,1080.766243,1190.246803,Census Tract 98.02,32.1,81482,34.6,6.6,76.6,3.7,4.11334552,0.91407678
12,MODELLING,41130.99926,6089.012249,10891.59065,533.9720663,796.5956816,6225.14402,Census Tract 316,9,64318,17.6,15.1,48.9,33.8,11.98501873,2.24719101
13,MODELLING,21375.24826,673.1286701,5518.839692,1484.48368,1744.163309,6446.90681,Census Tract 188.01,0.8,25294,12.3,18.4,37.3,19.5,153.8461539,10.98901099
14,MODELLING,10638.91505,3609.74443,3396.826568,983.057974,1212.25293,5876.9324,Census Tract 37.01,30.8,72864,39.6,12.7,61.3,23.4,17.62452107,1.53256705
15,MODELLING,12818.71049,5227.315627,5264.667181,3079.500124,538.8940556,3725.462923,Census Tract 36,15.6,57174,33.7,4.3,36.8,17.3,14.0783106,1.75978883
16,MODELLING,16393.34035,3576.724261,6262.049978,1316.996532,772.6790668,5421.542146,Census Tract 79,71.6,204429,66.2,37.4,83.7,58,15.93625498,3.15405046
17,MODELLING,38024.43235,6278.423802,13089.7256,1484.447376,835.0248324,2324.459218,Census Tract 321,23.5,56566,32.1,12,43.1,37.4,10.64773736,0
18,MODELLING,21262.62884,5607.201893,10994.17447,1271.112026,323.5700776,1539.635793,Census Tract 81.01,17.2,56431,28.3,9,45.8,9.2,29.18781726,3.48984772
19,MODELLING,11618.36395,5330.239573,8364.94933,1419.959161,1239.85348,4456.299975,Census Tract 151.02,13.5,75111,36.2,9,33.9,1.1,32.62316911,1.83089214
20,MODELLING,27582.78401,5805.483056,3455.675194,1659.761355,77.83075002,858.3172147,Census Tract 375,49.5,143777,57.5,26.5,71.6,42.5,10.74053137,2.40248728
21,MODELLING,18568.68871,6845.0558,8354.163424,512.6292246,2027.608433,2212.597531,Census Tract 71.02,11.3,63447,20.2,13.3,49.2,3,29.64652223,3.13568985
22,MODELLING,24707.81071,8492.297583,6089.458678,1938.730807,1174.343581,4958.054673,Census Tract 118,35.8,60850,54.3,22.8,77.5,0.5,8.99427637,1.02207686
23,MODELLING,42236.87061,12335.15153,13185.62353,1343.852981,1150.959976,3629.668756,Census Tract 262,33.2,91451,41.3,11.9,61.2,1.9,4.32900433,0.36075036
24,MODELLING,16328.42841,4875.416397,6057.810969,1090.475986,621.3257224,4612.650307,Census Tract 78,67.3,154354,71.5,41.5,77.7,62.4,25.64102564,5.03663004
25,MODELLING,62656.23298,28551.72789,12736.29094,4285.196519,2183.665759,869.9773888,Census Tract 356.01,35.5,147935,60,9.9,67.2,65.6,7.87037037,0.92592593
26,MODELLING,57897.58819,23068.00959,8963.592517,1200.27113,278.4457276,454.4521296,Census Tract 348.02,28.4,105370,45.4,10,75.4,59.6,8.01749271,0.72886297
27,MODELLING,57400.06769,22558.54553,8747.565693,1102.587902,302.9960795,964.9140379,Census Tract 348.02,28.4,105370,45.4,10,75.4,59.6,8.01749271,0.72886297
28,MODELLING,65974.40039,31162.21312,14004.96871,3621.937379,1361.480166,1912.964142,Census Tract 355,31.4,122195,39.9,9.7,62.7,63,4.36507937,0.89285714
29,MODELLING,64646.76774,30559.1703,12980.4375,3637.942829,778.9477775,1276.264044,Census Tract 356.01,35.5,147935,60,9.9,67.2,65.6,5.89496249,0.53590568
30,MODELLING,71924.54692,36777.27432,9957.962046,3098.194795,830.5810119,1200.062821,Census Tract 361,18.3,97360,30.7,19.3,71.6,53.7,7.35294118,3.67647059
31,MODELLING,66169.56095,31378.32325,762.2981127,1872.294773,545.8223264,586.7920307,Census Tract 353.01,22.7,102917,36.8,6.7,84.2,79.5,1.43215181,0.35803795
32,MODELLING,72229.23298,37504.7109,5476.877368,2754.257988,220.0521282,803.2920733,Census Tract 362.03,29.8,149293,41.6,3.4,71.3,85.5,6.80933852,1.94552529
33,MODELLING,69150.22589,34333.35528,2441.524725,938.5250387,913.8526763,1475.756824,Census Tract 362.03,29.8,149293,41.6,3.4,71.3,85.5,2.34192037,0.39032006
34,MODELLING,8552.140435,1384.419483,2034.112937,892.2810461,765.0417339,6195.148888,Census Tract 28.02,54,128443,57.5,23.4,66.6,60.7,84.39646712,22.57114818
35,MODELLING,13241.6552,3087.225943,4564.555443,806.1026445,477.6324366,5802.98256,Census Tract 41.04,24.2,81016,27.8,5.9,42.6,35.4,19.0070922,1.34751773
36,MODELLING,11078.68214,2731.938031,3091.757617,435.0661127,667.2258711,5828.106399,Census Tract 41.01,36.2,98418,50.8,21.3,51.9,32.2,58.94172806,2.17682518
37,MODELLING,18002.66202,4710.125304,5449.524244,1146.037368,986.834885,5286.512764,Census Tract 171,6.2,55056,24.1,15.2,38.4,2,34.42028986,2.94384058
38,MODELLING,37157.15934,1993.819824,7820.507078,1006.69009,888.6316662,7342.679578,Census Tract 317,11.6,73442,26.3,7.2,49.9,27.7,38.80983182,3.23415265
39,MODELLING,6597.271748,3961.102283,3257.782495,1054.718828,427.9943995,1495.106946,Census Tract 16,81.2,370103,72.7,49.7,92.5,85.8,9.37274694,3.06416727
40,MODELLING,15784.11596,2461.761519,4357.707881,1561.550311,1326.197704,663.9968665,Census Tract 175,2.9,52841,7.8,8.2,12.9,3.4,70.15706806,6.02094241
41,MODELLING,12336.37648,886.5456562,2682.643343,321.1767926,837.8300568,4561.239688,Census Tract 40.02,28.7,93189,35.9,11.8,71.5,73.9,56.45851155,1.92472198
42,MODELLING,4456.704703,1085.276759,2865.099306,1002.743145,970.2771069,4572.365162,Census Tract 133,75.1,193487,66.1,30.5,88.3,50.9,18.22079314,2.27759914
43,MODELLING,44326.3838,17840.78696,6282.928699,3409.496034,245.6398603,461.0727574,Census Tract 257,61.2,157992,65.8,34.7,74.1,51.4,3.05498982,1.65478615
44,MODELLING,64930.42963,30102.48287,2030.130087,1010.597957,764.5481973,915.9385169,Census Tract 353.01,22.7,102917,36.8,6.7,84.2,79.5,1.671542,0.4178855
45,MODELLING,11239.15052,4940.093623,5160.059627,1485.586157,644.417124,3569.687674,Census Tract 42.01,32.2,91457,29.6,11.2,69.7,58.8,30.99730458,2.92003594
46,MODELLING,22809.92781,9854.864713,585.512355,811.4468943,1064.304794,749.8705215,Census Tract 207.01,80.7,163171,76.6,36.1,86.3,76.4,4.09836066,0.29274005
47,MODELLING,35918.76763,4413.636528,10999.33235,458.4390708,434.5960002,3392.769045,Census Tract 298,6,51479,22.4,7.2,32.3,12.7,19.58384333,0
48,MODELLING,24585.83201,15910.39321,9203.245204,755.1274862,1031.453437,2292.960838,Census Tract 60,18.2,61332,29.7,4.2,66.5,9,27.93296089,0.55865922
49,MODELLING,69045.94843,34411.54808,2481.091124,2495.91777,298.6226037,521.7012105,Census Tract 362.03,29.8,149293,41.6,3.4,71.3,85.5,2.34192037,0.39032006
50,MODELLING,67444.455,32570.75985,13656.31215,2531.901841,2149.53717,1327.773039,Census Tract 360,37.2,98822,49.5,7.9,63.3,52.4,2.71166014,1.28050618
51,MODELLING,20102.274,7139.586554,7959.251522,1292.384487,627.3203726,2064.25858,Census Tract 119,20.6,86133,44,19.6,69.8,5.6,14.60674157,2.24719101
52,MODELLING,16953.07878,8690.313026,7346.970046,1238.278468,1145.428856,2930.889618,Census Tract 70,11.1,52108,8.6,18.1,56.3,1.1,33.12883436,3.37423313
